source,title,summary,url,published_at,fetched_at,category
eco,Governador do BdP defende exemplos internacionais para complementar reformas,"O governador do Banco de Portugal (BdP) defendeu esta sexta-feira que se deve “deixar de ideologia” e ver o que os outros países estão a fazer no que diz respeito a mecanismos para complementar o sistema de pensões público. À margem de um evento, em Bragança, e quando questionado sobre as conclusões do estudo do […]",https://eco.sapo.pt/2026/08/21/governador-do-bdp-defende-exemplos-internacionais-para-complementar-reformas/,2026-08-21T11:40:05+00:00,2026-08-21T12:19:04+00:00,real_estate
eco,Governo investe 551 mil euros na modernização dos elevadores do Palácio da Justiça,"O Ministério da Justiça, através do Instituto de Gestão Financeira e Equipamentos da Justiça, assinou um contrato para a empreitada de modernização e substituição de elevadores do Palácio da Justiça de Lisboa. Em comunicado, avança que o investimento é de 551.800 euros, acrescido de IVA, e que conta com um prazo de execução de 150 […]",https://eco.sapo.pt/2026/08/21/governo-investe-551-mil-euros-na-modernizacao-dos-elevadores-do-palacio-da-justica/,2026-08-21T11:26:17+00:00,2026-08-21T12:19:04+00:00,real_estate
eco,Carneiro fixa reforma da Segurança Social como linha vermelha para OE2027,"O secretário-geral do PS, José Luís Carneiro, alertou esta sexta-feira o Governo que se avançar com uma reforma da Segurança Social (SS) passará a linha vermelha que o partido fixou para negociar o Orçamento de Estado (OE) 2027. “Já disse, já o transmiti ao próprio primeiro-ministro que caso o Governo entenda avançar com uma transformação […]",https://eco.sapo.pt/2026/08/21/carneiro-fixa-reforma-da-seguranca-social-como-linha-vermelha-para-oe2027/,2026-08-21T11:24:30+00:00,2026-08-21T12:19:04+00:00,real_estate
eco,Passe verde em Lisboa e Porto chega na terceira semana de setembro e será alargado à Fertagus,"O alargamento do Passe Ferroviário Verde aos serviços urbanos de Lisboa e Porto vai arrancar na terceira semana de setembro, informa o Ministério das Infraestruturas em comunicado. O título permite viajar nos comboios da CP por apenas 20 euros por mês e irá “ser alargado à linha da Fertagus”, diz a nota enviada pelo gabinete […]",https://eco.sapo.pt/2026/08/21/passe-verde-em-lisboa-e-porto-chega-na-terceira-semana-de-setembro-e-sera-alargado-a-fertagus/,2026-08-21T11:21:00+00:00,2026-08-21T12:19:04+00:00,real_estate
eco,Endividamento da economia atinge 283% do PIB em junho,"O endividamento do conjunto da economia — famílias, empresas (excluindo bancos) e administrações públicas — subiu para 282,7% do Produto Interno Bruto (PIB) no final de junho, segundo o Banco de Portugal. Em termos absolutos atingiu os 894 mil milhões. Trata-se de um agravamento mais de quatro pontos percentuais em relação ao final do ano […]",https://eco.sapo.pt/2026/08/21/endividamento-da-economia-atinge-283-do-pib-em-junho/,2026-08-21T10:59:00+00:00,2026-08-21T12:19:04+00:00,real_estate
eco,Reformar a Segurança Social: Veja aqui relatório completo,"O relatório do grupo de trabalho que passou o último ano e meio a estudar a Segurança Social já está disponível na íntegra na Direção-Geral de Coordenação e Planeamento (DGCP), e pode ser consultado abaixo. Em causa está uma análise que aponta para um saldo negativo de 1,9 mil milhões de euros na Segurança Social […]",https://eco.sapo.pt/2026/08/21/reformar-ja-mas-de-modo-que-dure-veja-aqui-relatorio-completo-sobre-a-seguranca-social/,2026-08-21T10:45:11+00:00,2026-08-21T12:19:04+00:00,real_estate
eco,Alpac Capital toma controlo da operação sérvia da Adria News Network,"A Alpac Capital, sociedade de capital de risco liderada pelos portugueses Pedro Vargas David e Luís Santos, tomou controlo na segunda-feira de vários dos meios de comunicação social independentes da Sérvia, entre os quais os canais televisivos N1 e Nova S, o diário Danas e o semanário Radar. A notícia foi avançada pelo portal European […]",https://eco.sapo.pt/2026/08/21/alpac-capital-toma-controlo-da-operacao-servia-da-adria-news-network/,2026-08-21T10:39:52+00:00,2026-08-21T12:19:04+00:00,real_estate
eco,Euribor a 12 meses supera fasquia dos 3% pela primeira vez em dois anos,"As taxas Euribor, que servem de base para o cálculo da prestação mensal da casa, voltaram a subir a três, a seis e a 12 meses, atingindo os valores mais altos em mais de ano e meio. No caso da Euribor a seis meses, a taxa registada foi de 2,765%, o que significa um aumento […]",https://eco.sapo.pt/2026/08/21/euribor-a-12-meses-supera-fasquia-3-pela-primeira-vez-dois-anos/,2026-08-21T10:34:02+00:00,2026-08-21T12:19:04+00:00,real_estate
eco,"SIFIDE via fundos acaba, mas dinheiro já investido ganha mais tempo para chegar às empresas. Saiba o que muda","Entra em vigor este sábado o fim do SIFIDE II através de fundos de investimento. O regime geral do incentivo à investigação e desenvolvimento (I&D) é, contudo, prolongado até ao final de 2026 e o dinheiro que já foi colocado nos Fundos SIFIDE ganha mais tempo para ser aplicado. O decreto-Lei n.º 170/2026, publicado esta […]",https://eco.sapo.pt/2026/08/21/sifide-via-fundos-acaba-mas-dinheiro-ja-investido-ganha-mais-tempo-para-chegar-as-empresas-saiba-o-que-muda/,2026-08-21T10:27:34+00:00,2026-08-21T12:19:04+00:00,real_estate
eco,Urgências na Grande Lisboa com tempos de espera até nove horas,"Segundo informação oficial do Hospital Amadora-Sintra – que não tem disponíveis dados no portal do Serviço Nacional de Saúde (SNS) – os doentes urgentes (pulseira amarela) tinham de aguardar ao inicio da manhã desta sexta-feira, em média, cerca de nove horas para serem vistos pela primeira vez por um médico. Contudo, os profissionais de saúde […]",https://eco.sapo.pt/2026/08/21/urgencias-na-grande-lisboa-com-tempos-de-espera-ate-9-horas/,2026-08-21T10:26:25+00:00,2026-08-21T12:19:04+00:00,real_estate
