dia,preco_max,preco_min,preco_fecho,quantidade_total,total_ordens_dia
2026-07-24,149.0,147.0,149.0,14,5
2026-07-27,147.0,138.5,145.0,43,26
2026-07-28,154.0,148.0,153.5,31,24
2026-07-29,151.0,143.0,148.0,40,35
2026-07-30,146.0,139.6,143.0,55,44
2026-07-31,143.0,137.01,138.0,67,46
2026-08-03,180.5,175.0,176.51,91,66
2026-08-04,179.0,174.0,179.0,39,29
2026-08-05,185.0,175.0,180.0,49,33
2026-08-06,177.5,172.0,173.0,20,15
2026-08-07,173.0,169.0,169.0,31,9
2026-08-10,180.0,155.0,174.0,83,55
2026-08-11,177.0,169.0,177.0,36,21
2026-08-12,191.0,181.0,187.0,65,53
2026-08-13,185.0,184.9,184.9,8,4
2026-08-14,178.0,178.0,178.0,2,2
2026-08-17,192.22,185.5,187.0,29,19
2026-08-18,191.0,185.0,190.99,29,24
2026-08-19,193.5,185.0,193.5,24,21
2026-08-20,200.0,193.0,199.0,62,49
2026-08-21,200.0,194.0,197.9,34,27
2026-08-24,195.0,182.5,187.0,53,49
